Time,Radiation [W/m^2],Radiation  S.D,Radiation  VARIANCE,Wind Speed [m/s],Wind Speed S.D,Wind Speed VARIANCE,Wind Direction [Deg],Wind Direction S.D,Wind Direction VARIANCE,TC8 Temp [C],TC2 Temp [C],TC9 Temp [C],TC6 Temp [C],TC10 Temp [C],TC12 Temp [C],TC13 Temp [C],TC14 Temp [C],TC8 S.D,TC2 S.D,TC9 S.D,TC6 S.D,TC10 S.D,TC12 S.D,TC13 S.D,TC14 S.D,TC8 Variance,TC2 Variance,TC9 Variance,TC6 Variance,TC10 Variance,TC12 Variance,TC13 Variance,TC14 Variance
3709804095.537835,50.459094,0.000187,0.000000,0.042965,0.000187,0.000000,234.529443,0.004409,0.000019,34.349354,38.245810,34.241179,32.808589,34.994973,32.975153,31.614416,32.153672,0.023159,0.015398,0.009949,0.007574,0.026714,0.023537,0.007789,0.089124,0.000536,0.000237,0.000099,0.000057,0.000714,0.000554,0.000061,0.007943
3709804441.942616,45.485815,0.000948,0.000001,0.044262,0.000355,0.000000,234.069442,0.000501,0.000000,34.038418,37.839366,33.757043,32.833624,34.171188,33.019448,31.651101,31.962650,0.026151,0.024214,0.035003,0.007069,0.039015,0.012705,0.009185,0.035826,0.000684,0.000586,0.001225,0.000050,0.001522,0.000161,0.000084,0.001284
3709804791.943087,95.840270,0.004065,0.000017,0.051179,0.000348,0.000000,243.970973,0.003156,0.000010,33.499259,37.165032,33.020836,32.876766,32.563988,33.081323,31.717325,31.028766,0.028558,0.032587,0.049144,0.005012,0.037981,0.010760,0.007615,0.034036,0.000816,0.001062,0.002415,0.000025,0.001443,0.000116,0.000058,0.001158
3709805141.942579,35.539256,0.000232,0.000000,0.058961,0.000222,0.000000,241.960767,0.002991,0.000009,33.086786,36.892850,32.633625,32.818959,32.759639,32.993083,31.631566,31.335990,0.006147,0.007783,0.010157,0.002750,0.013185,0.017164,0.004345,0.081254,0.000038,0.000061,0.000103,0.000008,0.000174,0.000295,0.000019,0.006602
3709805491.944260,46.107475,0.000302,0.000000,0.061555,0.000355,0.000000,241.850366,0.000302,0.000000,32.845640,36.673774,32.340605,32.796136,32.494637,32.977257,31.603044,31.620940,0.008404,0.008026,0.020426,0.007539,0.031502,0.015253,0.008128,0.135502,0.000071,0.000064,0.000417,0.000057,0.000992,0.000233,0.000066,0.018361
3709805841.942753,38.025895,0.000288,0.000000,0.060907,0.000339,0.000000,241.822766,0.000379,0.000000,33.031653,36.785551,32.630618,32.794045,33.088947,32.964039,31.596966,31.563087,0.004026,0.005260,0.012391,0.006948,0.023203,0.012841,0.005006,0.114208,0.000016,0.000028,0.000154,0.000048,0.000538,0.000165,0.000025,0.013044
3709806191.944223,28.700996,0.000230,0.000000,0.057448,0.000170,0.000000,229.513128,0.007319,0.000054,33.112956,36.640223,32.472173,32.845596,32.558690,33.033736,31.659401,31.202797,0.020321,0.028434,0.042543,0.004214,0.099188,0.016838,0.007722,0.115941,0.000413,0.000808,0.001810,0.000018,0.009838,0.000284,0.000060,0.013442
3709806541.942692,28.079336,0.000222,0.000000,0.090521,0.013868,0.000192,237.887454,0.001956,0.000004,32.687061,36.150003,31.758627,32.852427,31.552880,33.039529,31.679335,31.009226,0.029030,0.022447,0.043926,0.008457,0.009233,0.016651,0.009643,0.112225,0.000843,0.000504,0.001930,0.000072,0.000085,0.000277,0.000093,0.012595
3709806891.943162,28.700996,0.000317,0.000000,0.063285,0.000271,0.000000,238.832757,0.002245,0.000005,32.380554,35.914194,31.642908,32.782120,31.643315,32.953701,31.593575,31.219586,0.006956,0.009827,0.009378,0.003791,0.010368,0.008638,0.004884,0.109419,0.000048,0.000097,0.000088,0.000014,0.000108,0.000075,0.000024,0.011972
3709807241.942632,38.647555,0.000346,0.000000,0.061123,0.000348,0.000000,229.175026,0.000609,0.000000,32.423782,35.904605,31.667913,32.805728,31.718958,32.963068,31.598633,31.281220,0.006032,0.010837,0.006630,0.005462,0.009212,0.014043,0.008457,0.066589,0.000036,0.000117,0.000044,0.000030,0.000085,0.000197,0.000072,0.004434
3709807591.943079,60.405653,0.000173,0.000000,0.057664,0.000222,0.000000,228.280324,0.000532,0.000000,32.488932,36.084982,31.936823,32.803886,31.996375,32.956075,31.587300,31.952072,0.007145,0.014610,0.038692,0.004301,0.007576,0.010635,0.007949,0.235252,0.000051,0.000213,0.001497,0.000018,0.000057,0.000113,0.000063,0.055344
3709807941.942550,82.785411,0.000450,0.000000,0.053125,0.000230,0.000000,231.146133,0.000509,0.000000,32.710800,36.435267,32.279617,32.849507,31.792466,33.001930,31.626665,31.581744,0.006314,0.023396,0.049377,0.007552,0.010958,0.009422,0.007733,0.048013,0.000040,0.000547,0.002438,0.000057,0.000120,0.000089,0.000060,0.002305
3709808291.943019,42.999175,0.000222,0.000000,0.049018,0.000491,0.000000,230.644731,0.002665,0.000007,32.871569,36.382423,32.636428,32.864346,31.976284,33.007235,31.639103,31.487612,0.006273,0.026930,0.040641,0.006546,0.008449,0.015448,0.008365,0.106868,0.000039,0.000725,0.001652,0.000043,0.000071,0.000239,0.000070,0.011421
3709808641.942521,53.567394,0.000317,0.000000,0.053341,0.000271,0.000000,230.929932,0.000317,0.000000,32.748834,36.243150,32.356360,32.898569,31.745576,33.043877,31.665381,31.141410,0.005242,0.017856,0.017858,0.006361,0.028209,0.012445,0.007305,0.041623,0.000027,0.000319,0.000319,0.000040,0.000796,0.000155,0.000053,0.001732
3709808991.943014,84.650391,0.000277,0.000000,0.080146,0.009464,0.000090,230.833332,0.002821,0.000008,32.876229,36.232229,32.298589,32.872100,32.141954,33.004454,31.628529,31.193970,0.023044,0.023246,0.013952,0.005441,0.047697,0.007833,0.010181,0.266911,0.000531,0.000540,0.000195,0.000030,0.002275,0.000061,0.000104,0.071241
